subtask_name,step,action,example
set_timer_duration,0,"{""name"": ""click"", ""parameters"": {""index"": ""20"", ""text"": ""<digit__-1>""}}","{""instruction"": ""Create a timer with one hour,  one minute, and one second. Do not start the timer."", ""subtask"": ""{\""name\"": \""set_timer_duration\"", \""parameters\"": {\""digit\"": \""1\""}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""toolbar\"" index=\""8\""><button id=\""overflow_action_button\"" description=\""More options\"" long-clickable=\""true\"" index=\""11\"" /></div><div id=\""desk_clock_pager_frame\"" index=\""12\""><div id=\""timer_setup\"" index=\""16\""><p id=\""timer_setup_time\"" description=\""0 hours, 0 minutes, 0 seconds\"" index=\""17\"">00h 00m 00s</p><div index=\""19\""><button text=\""1\"" id=\""timer_setup_digit_1\"" index=\""20\"" /><button text=\""2\"" id=\""timer_setup_digit_2\"" index=\""21\"" /><button text=\""3\"" id=\""timer_setup_digit_3\"" index=\""22\"" /><button text=\""4\"" id=\""timer_setup_digit_4\"" index=\""23\"" /><button text=\""5\"" id=\""timer_setup_digit_5\"" index=\""24\"" /><button text=\""6\"" id=\""timer_setup_digit_6\"" index=\""25\"" /><button text=\""7\"" id=\""timer_setup_digit_7\"" index=\""26\"" /><button text=\""8\"" id=\""timer_setup_digit_8\"" index=\""27\"" /><button text=\""9\"" id=\""timer_setup_digit_9\"" index=\""28\"" /><button text=\""00\"" id=\""timer_setup_digit_00\"" index=\""29\"" /><button text=\""0\"" id=\""timer_setup_digit_0\"" index=\""30\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the timer setup screen, and the task is to set the timer duration with a digit '1'. The screen has buttons for digits from 0 to 9 and '00', as well as a backspace button. I need to click the button labeled '1' to input the digit.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 20}}, \""completion_rate\"": 10, \""plan\"": \""After clicking the '1' button, I will need to determine the next digit to input for the timer duration.\""}""}"
set_timer_duration,1,"{""name"": ""click"", ""parameters"": {""index"": ""20"", ""text"": ""<digit__-1>""}}","{""instruction"": ""Create a timer with one hour,  one minute, and one second. Do not start the timer."", ""subtask"": ""{\""name\"": \""set_timer_duration\"", \""parameters\"": {\""digit\"": \""1\""}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""toolbar\"" index=\""8\""><button id=\""overflow_action_button\"" description=\""More options\"" long-clickable=\""true\"" index=\""11\"" /></div><div id=\""desk_clock_pager_frame\"" index=\""12\""><div id=\""timer_setup\"" index=\""16\""><p id=\""timer_setup_time\"" description=\""0 hours, 0 minutes, 1 second\"" index=\""17\"">00h 00m 01s</p><div index=\""19\""><button text=\""1\"" id=\""timer_setup_digit_1\"" index=\""20\"" /><button text=\""2\"" id=\""timer_setup_digit_2\"" index=\""21\"" /><button text=\""3\"" id=\""timer_setup_digit_3\"" index=\""22\"" /><button text=\""4\"" id=\""timer_setup_digit_4\"" index=\""23\"" /><button text=\""5\"" id=\""timer_setup_digit_5\"" index=\""24\"" /><button text=\""6\"" id=\""timer_setup_digit_6\"" index=\""25\"" /><button text=\""7\"" id=\""timer_setup_digit_7\"" index=\""26\"" /><button text=\""8\"" id=\""timer_setup_digit_8\"" index=\""27\"" /><button text=\""9\"" id=\""timer_setup_digit_9\"" index=\""28\"" /><button text=\""00\"" id=\""timer_setup_digit_00\"" index=\""29\"" /><button text=\""0\"" id=\""timer_setup_digit_0\"" index=\""30\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the timer setup screen, and the task is to set the timer duration with a digit '1'. The screen has buttons for digits from 0 to 9 and '00', as well as a backspace button. I need to click the button labeled '1' to input the digit.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 20}}, \""completion_rate\"": 10, \""plan\"": \""After clicking the '1' button, I will need to determine the next digit to input for the timer duration.\""}""}"
set_timer_duration,2,"{""name"": ""click"", ""parameters"": {""index"": ""20"", ""text"": ""<digit__-1>""}}","{""instruction"": ""Create a timer with one hour,  one minute, and one second. Do not start the timer."", ""subtask"": ""{\""name\"": \""set_timer_duration\"", \""parameters\"": {\""digit\"": \""1\""}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""toolbar\"" index=\""8\""><button id=\""overflow_action_button\"" description=\""More options\"" long-clickable=\""true\"" index=\""11\"" /></div><div id=\""desk_clock_pager_frame\"" index=\""12\""><div id=\""timer_setup\"" index=\""16\""><p id=\""timer_setup_time\"" description=\""0 hours, 0 minutes, 11 seconds\"" index=\""17\"">00h 00m 11s</p><div index=\""19\""><button text=\""1\"" id=\""timer_setup_digit_1\"" index=\""20\"" /><button text=\""2\"" id=\""timer_setup_digit_2\"" index=\""21\"" /><button text=\""3\"" id=\""timer_setup_digit_3\"" index=\""22\"" /><button text=\""4\"" id=\""timer_setup_digit_4\"" index=\""23\"" /><button text=\""5\"" id=\""timer_setup_digit_5\"" index=\""24\"" /><button text=\""6\"" id=\""timer_setup_digit_6\"" index=\""25\"" /><button text=\""7\"" id=\""timer_setup_digit_7\"" index=\""26\"" /><button text=\""8\"" id=\""timer_setup_digit_8\"" index=\""27\"" /><button text=\""9\"" id=\""timer_setup_digit_9\"" index=\""28\"" /><button text=\""00\"" id=\""timer_setup_digit_00\"" index=\""29\"" /><button text=\""0\"" id=\""timer_setup_digit_0\"" index=\""30\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the timer setup screen, and the task is to set the timer duration with a digit '1'. The screen has buttons for digits from 0 to 9 and '00', as well as a backspace button. I need to click the button labeled '1' to input the digit.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 20}}, \""completion_rate\"": 10, \""plan\"": \""After clicking the '1' button, I will need to determine the next digit to input for the timer duration.\""}""}"
set_timer_duration,3,"{""name"": ""click"", ""parameters"": {""index"": ""20"", ""text"": ""<digit__-1>""}}","{""instruction"": ""Create a timer with one hour,  one minute, and one second. Do not start the timer."", ""subtask"": ""{\""name\"": \""set_timer_duration\"", \""parameters\"": {\""digit\"": \""1\""}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""toolbar\"" index=\""8\""><button id=\""overflow_action_button\"" description=\""More options\"" long-clickable=\""true\"" index=\""11\"" /></div><div id=\""desk_clock_pager_frame\"" index=\""12\""><div id=\""timer_setup\"" index=\""16\""><p id=\""timer_setup_time\"" description=\""0 hours, 1 minute, 11 seconds\"" index=\""17\"">00h 01m 11s</p><div index=\""19\""><button text=\""1\"" id=\""timer_setup_digit_1\"" index=\""20\"" /><button text=\""2\"" id=\""timer_setup_digit_2\"" index=\""21\"" /><button text=\""3\"" id=\""timer_setup_digit_3\"" index=\""22\"" /><button text=\""4\"" id=\""timer_setup_digit_4\"" index=\""23\"" /><button text=\""5\"" id=\""timer_setup_digit_5\"" index=\""24\"" /><button text=\""6\"" id=\""timer_setup_digit_6\"" index=\""25\"" /><button text=\""7\"" id=\""timer_setup_digit_7\"" index=\""26\"" /><button text=\""8\"" id=\""timer_setup_digit_8\"" index=\""27\"" /><button text=\""9\"" id=\""timer_setup_digit_9\"" index=\""28\"" /><button text=\""00\"" id=\""timer_setup_digit_00\"" index=\""29\"" /><button text=\""0\"" id=\""timer_setup_digit_0\"" index=\""30\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the timer setup screen, and the task is to set the timer duration with a digit '1'. The screen has buttons for digits from 0 to 9 and '00', as well as a backspace button. I need to click the button labeled '1' to input the digit.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 20}}, \""completion_rate\"": 10, \""plan\"": \""After clicking the '1' button, I will need to determine the next digit to input for the timer duration.\""}""}"
set_timer_duration,4,"{""name"": ""click"", ""parameters"": {""index"": ""20"", ""text"": ""<digit__-1>""}}","{""instruction"": ""Create a timer with one hour,  one minute, and one second. Do not start the timer."", ""subtask"": ""{\""name\"": \""set_timer_duration\"", \""parameters\"": {\""digit\"": \""1\""}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""toolbar\"" index=\""8\""><button id=\""overflow_action_button\"" description=\""More options\"" long-clickable=\""true\"" index=\""11\"" /></div><div id=\""desk_clock_pager_frame\"" index=\""12\""><div id=\""timer_setup\"" index=\""16\""><p id=\""timer_setup_time\"" description=\""0 hours, 11 minutes, 11 seconds\"" index=\""17\"">00h 11m 11s</p><div index=\""19\""><button text=\""1\"" id=\""timer_setup_digit_1\"" index=\""20\"" /><button text=\""2\"" id=\""timer_setup_digit_2\"" index=\""21\"" /><button text=\""3\"" id=\""timer_setup_digit_3\"" index=\""22\"" /><button text=\""4\"" id=\""timer_setup_digit_4\"" index=\""23\"" /><button text=\""5\"" id=\""timer_setup_digit_5\"" index=\""24\"" /><button text=\""6\"" id=\""timer_setup_digit_6\"" index=\""25\"" /><button text=\""7\"" id=\""timer_setup_digit_7\"" index=\""26\"" /><button text=\""8\"" id=\""timer_setup_digit_8\"" index=\""27\"" /><button text=\""9\"" id=\""timer_setup_digit_9\"" index=\""28\"" /><button text=\""00\"" id=\""timer_setup_digit_00\"" index=\""29\"" /><button text=\""0\"" id=\""timer_setup_digit_0\"" index=\""30\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the timer setup screen, and the task is to set the timer duration with a digit '1'. The screen has buttons for digits from 0 to 9 and '00', as well as a backspace button. I need to click the button labeled '1' to input the digit.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 20}}, \""completion_rate\"": 10, \""plan\"": \""After clicking the '1' button, I will need to determine the next digit to input for the timer duration.\""}""}"
set_timer_duration,5,"{""name"": ""finish"", ""parameters"": {}}",{}
pause_stopwatch,0,"{""name"": ""click"", ""parameters"": {""index"": 23, ""description"": ""Pause""}}","{""instruction"": ""Pause the stopwatch."", ""subtask"": ""{\""name\"": \""pause_stopwatch\"", \""parameters\"": {}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""desk_clock_pager_frame\"" index=\""12\""><button id=\""stopwatch_time_wrapper\"" index=\""16\""><View id=\""stopwatch_circle\"" index=\""17\"" /><div index=\""18\""><p id=\""stopwatch_time_text\"" index=\""19\"">12</p><p id=\""stopwatch_hundredths_text\"" index=\""20\"">79</p></div></button><div id=\""fab_container\"" index=\""21\""><button id=\""left_button\"" description=\""Reset\"" index=\""22\"" /><button id=\""fab\"" description=\""Pause\"" index=\""23\"" /><button id=\""right_button\"" description=\""Lap\"" index=\""24\"" /></div></div><div index=\""26\""><button id=\""tab_menu_alarm\"" description=\""Alarm\"" index=\""27\""><img id=\""navigation_bar_item_icon_view\"" index=\""29\"" /><p id=\""navigation_bar_item_small_label_view\"" index=\""31\"">Alarm</p></button><button id=\""tab_menu_clock\"" description=\""Clock\"" index=\""32\"" /></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen shows a stopwatch interface with a 'Pause' button (index 23). Since the user's goal is to pause the stopwatch, clicking this button will directly fulfill the subtask.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 23}}, \""completion_rate\"": 100, \""plan\"": \""Click the 'Pause' button to stop the stopwatch and complete the subtask.\""}""}"
pause_stopwatch,1,"{""name"": ""finish"", ""parameters"": {}}",{}
start_stopwatch,0,"{""name"": ""click"", ""parameters"": {""index"": 22, ""description"": ""Start""}}","{""instruction"": ""Run the stopwatch."", ""subtask"": ""{\""name\"": \""start_stopwatch\"", \""parameters\"": {}}"", ""screen"": ""<div id=\""content\"" index=\""6\""><div id=\""desk_clock_pager_frame\"" index=\""12\""><button id=\""stopwatch_time_wrapper\"" index=\""16\""><View id=\""stopwatch_circle\"" index=\""17\"" /><div index=\""18\""><p id=\""stopwatch_time_text\"" index=\""19\"">00</p><p id=\""stopwatch_hundredths_text\"" index=\""20\"">00</p></div></button><button id=\""fab\"" description=\""Start\"" index=\""22\"" /></div><div index=\""24\""><button id=\""tab_menu_alarm\"" description=\""Alarm\"" index=\""25\""><img id=\""navigation_bar_item_icon_view\"" index=\""27\"" /><p id=\""navigation_bar_item_small_label_view\"" index=\""29\"">Alarm</p></button><button id=\""tab_menu_clock\"" description=\""Clock\"" index=\""30\""><img id=\""navigation_bar_item_icon_view\"" index=\""32\"" /></button></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen shows a stopwatch interface with a button labeled 'Start' (index 22). Since the subtask is to start the stopwatch, clicking this 'Start' button will accomplish the task.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 22}}, \""completion_rate\"": 100, \""plan\"": \""Click the 'Start' button to begin the stopwatch.\""}""}"
start_stopwatch,1,"{""name"": ""finish"", ""parameters"": {}}",{}
