subtask_name,step,action,example
create_new_contact,1,"{""name"": ""finish"", ""parameters"": {}}",{}
fill_in_name,0,"{""name"": ""input"", ""parameters"": {""index"": ""32"", ""input_text"": ""<first_name__-1>"", ""text"": ""First name""}}","{""instruction"": ""Create a new contact for Tom.The number is 123789."", ""subtask"": ""{\""name\"": \""fill_in_name\"", \""parameters\"": {\""first_name\"": \""Tom\"", \""last_name\"": \""unknown\""}}"", ""screen"": ""<div id=\""contact_editor_fragment\"" index=\""5\""><div index=\""16\""><div id=\""photo_editor\"" index=\""18\""><img id=\""photo\"" index=\""22\"" /></div><div id=\""kind_section_views\"" index=\""24\""><div index=\""25\""><img id=\""kind_icon\"" index=\""26\"" /><div index=\""28\""><div id=\""editors\"" index=\""29\""><input clickable=\""true\"" long-clickable=\""true\"" index=\""32\"">First name</input><input clickable=\""true\"" long-clickable=\""true\"" index=\""35\"">Last name</input></div><button id=\""expansion_view_container\"" index=\""36\""><img id=\""expansion_view\"" description=\""Show more name fields\"" index=\""37\"" /></button></div></div><div index=\""38\""><img id=\""kind_icon\"" index=\""39\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the contact creation form. The task is to fill in the first name as 'Tom'. There is an input field for the first name at index 32. I will input 'Tom' into that field.\"", \""action\"": {\""name\"": \""input\"", \""parameters\"": {\""index\"": 32, \""input_text\"": \""Tom\""}}, \""completion_rate\"": 25, \""plan\"": \""Next, I will fill in the last name if available or proceed to the next step if it's not required.\""}""}"
fill_in_name,2,"{""name"": ""input"", ""parameters"": {""index"": ""35"", ""input_text"": ""<last_name__-1>"", ""text"": ""Last name""}}","{""instruction"": ""Create a new contact for Tom.The number is 123789."", ""subtask"": ""{\""name\"": \""fill_in_name\"", \""parameters\"": {\""first_name\"": \""Tom\"", \""last_name\"": \""Pop\""}}"", ""screen"": ""<div id=\""contact_editor_fragment\"" index=\""5\""><div index=\""16\""><div id=\""kind_section_views\"" index=\""24\""><div index=\""25\""><img id=\""kind_icon\"" index=\""26\"" /><div index=\""28\""><div id=\""editors\"" index=\""29\""><input clickable=\""true\"" long-clickable=\""true\"" index=\""32\"">Tom</input><input clickable=\""true\"" long-clickable=\""true\"" index=\""35\"">Last name</input></div><button id=\""expansion_view_container\"" index=\""36\""><img id=\""expansion_view\"" description=\""Show more name fields\"" index=\""37\"" /></button></div></div><div index=\""38\""><img id=\""kind_icon\"" index=\""39\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the contact creation form, and the first name field has already been filled with 'Tom'. The last name field is available at index 35. Since the last name is provided as 'Pop' in the subtask parameters, I will input it into the last name field.\"", \""action\"": {\""name\"": \""input\"", \""parameters\"": {\""index\"": 35, \""input_text\"": \""Pop\""}}, \""completion_rate\"": 50, \""plan\"": \""Next, I will proceed to fill in the phone number for Tom.\""}""}"
fill_in_name,3,"{""name"": ""input"", ""parameters"": {""index"": ""57"", ""input_text"": ""123789"", ""children"": [[0, 1, {}]]}}","{""instruction"": ""Create a new contact for Tom.The number is 123789."", ""subtask"": ""{\""name\"": \""fill_in_name\"", \""parameters\"": {\""first_name\"": \""Tom\"", \""last_name\"": \""Pop\""}}"", ""screen"": ""<div id=\""contact_editor_fragment\"" index=\""5\""><div index=\""16\""><div id=\""kind_section_views\"" index=\""24\""><div index=\""47\""><img id=\""kind_icon\"" index=\""48\"" /><div index=\""51\""><input clickable=\""true\"" long-clickable=\""true\"" index=\""55\"">Phone</input><div index=\""57\""><button text=\""Mobile\"" description=\""Mobile Phone\"" long-clickable=\""true\"" index=\""58\"" /><checker id=\""text_input_end_icon\"" description=\""Show dropdown menu\"" clickable=\""true\"" index=\""61\"" checked=\""false\"" /></div></div></div><div index=\""62\""><img id=\""kind_icon\"" index=\""63\"" /><div index=\""66\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen is the contact creation form, and both the first name and last name fields have been filled with 'Tom' and 'Pop', respectively. The next step is to input the phone number for Tom, which is provided as 123789 in the user's instruction. The phone number input field is available at index 57.\"", \""action\"": {\""name\"": \""input\"", \""parameters\"": {\""index\"": 57, \""input_text\"": \""123789\""}}, \""completion_rate\"": 75, \""plan\"": \""After inputting the phone number, I will proceed to save the contact by clicking the 'Save' button.\""}""}"
create_new_contact,1,"{""name"": ""finish"", ""parameters"": {}}",{}
fill_in_phone,0,"{""name"": ""input"", ""parameters"": {""index"": ""55"", ""input_text"": ""<phone_number__-1>"", ""text"": ""Phone""}}","{""instruction"": ""Go to the new contact screen and enter the following details: First Name: Herry, Last Name: Potter, Phone: 666, Phone Label: Mobile. Do not hit save."", ""subtask"": ""{\""name\"": \""fill_in_phone\"", \""parameters\"": {\""phone_number\"": \""666\""}}"", ""screen"": ""<div id=\""contact_editor_fragment\"" index=\""5\""><div index=\""16\""><div id=\""kind_section_views\"" index=\""24\""><div index=\""38\""><input clickable=\""true\"" long-clickable=\""true\"" index=\""46\"">Company</input></div><div index=\""47\""><img id=\""kind_icon\"" index=\""48\"" /><div index=\""51\""><input clickable=\""true\"" long-clickable=\""true\"" index=\""55\"">Phone</input><div index=\""57\""><button text=\""Mobile\"" description=\""Mobile Phone\"" long-clickable=\""true\"" index=\""58\"" /><checker id=\""text_input_end_icon\"" description=\""Show dropdown menu\"" clickable=\""true\"" index=\""61\"" checked=\""false\"" /></div></div></div><div index=\""62\""><img id=\""kind_icon\"" index=\""63\"" /></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The current screen shows a contact editor with a phone number input field. The task is to fill in the phone number '666'. I need to locate the phone number input field and enter the value.\"", \""action\"": {\""name\"": \""input\"", \""parameters\"": {\""index\"": 55, \""input_text\"": \""666\""}}, \""completion_rate\"": 75, \""plan\"": \""I will now input the phone number '666' into the phone number field. Next, I will handle the phone label (Mobile) if needed.\""}""}"
fill_in_phone,1,"{""name"": ""finish"", ""parameters"": {}}",{}
select_phone_type,0,"{""name"": ""click"", ""parameters"": {""index"": ""58"", ""text"": ""<phone_type__-1>"", ""description"": ""<phone_type__-1> Phone""}}","{""instruction"": ""Go to the new contact screen and enter the following details: First Name: Herry, Last Name: Potter, Phone: 666, Phone Label: Mobile. Do not hit save."", ""subtask"": ""{\""name\"": \""select_phone_type\"", \""parameters\"": {\""phone_type\"": \""Mobile\""}}"", ""screen"": ""<div id=\""contact_editor_fragment\"" index=\""5\""><div index=\""16\""><div id=\""kind_section_views\"" index=\""24\""><div index=\""47\""><img id=\""kind_icon\"" index=\""48\"" /><div id=\""kind_editors\"" index=\""49\""><div index=\""50\""><div index=\""51\""><input clickable=\""true\"" long-clickable=\""true\"" index=\""55\"">666</input><div index=\""57\""><button text=\""Mobile\"" description=\""Mobile Phone\"" long-clickable=\""true\"" index=\""58\"" /><checker id=\""text_input_end_icon\"" description=\""Show dropdown menu\"" clickable=\""true\"" index=\""61\"" checked=\""false\"" /></div></div><button id=\""delete_button_container\"" description=\""Delete Mobile Phone\"" index=\""62\""><img id=\""delete_button\"" description=\""delete\"" index=\""63\"" /></button></div><div index=\""65\"" /></div></div></div></div></div>"", ""response"": ""{\""reasoning\"": \""The phone number '666' has already been entered. The next step is to select the phone type as 'Mobile'. On the current screen, there is a button labeled 'Mobile' (index 58) that can be clicked to set the phone label to 'Mobile'.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 58}}, \""completion_rate\"": 90, \""plan\"": \""Click on the 'Mobile' button to set the phone label. This will complete the subtask of selecting the phone type.\""}""}"
create_new_contact,1,"{""name"": ""finish"", ""parameters"": {}}",{}
fill_in_phone,1,"{""name"": ""finish"", ""parameters"": {}}",{}
save_contact,0,"{""name"": ""click"", ""parameters"": {""index"": 12, ""text"": ""Save""}}","{""instruction"": ""Create a new contact for Danny. The number is 222. Call Danny."", ""subtask"": ""{\""name\"": \""save_contact\"", \""parameters\"": {}}"", ""screen"": ""<div id=\""contact_editor_fragment\"" index=\""5\""><div id=\""toolbar\"" index=\""7\""><button description=\""Cancel\"" index=\""8\"" /><p index=\""9\"">Create contact</p><LinearLayoutCompat index=\""10\""><button text=\""Save\"" id=\""toolbar_button\"" index=\""12\"" /><button description=\""More options\"" long-clickable=\""true\"" index=\""13\"" /></LinearLayoutCompat></div><div index=\""16\""><div id=\""photo_editor\"" index=\""18\""><button id=\""photo_update_clickable\"" index=\""19\""><img id=\""photo_icon\"" description=\""Add contact photo\"" index=\""20\"" /><p id=\""text_label_photo_icon\"" index=\""21\"">Add photo</p></button><img id=\""photo\"" index=\""22\"" /></div></div></div>"", ""response"": ""{\""reasoning\"": \""The contact information for Danny has been filled in, including the first name 'Danny' and the phone number '222'. The next logical step is to save the contact. The 'Save' button is available on the screen at index 12.\"", \""action\"": {\""name\"": \""click\"", \""parameters\"": {\""index\"": 12}}, \""completion_rate\"": 90, \""plan\"": \""Click the 'Save' button to finalize the contact creation for Danny.\""}""}"
create_new_contact,1,"{""name"": ""finish"", ""parameters"": {}}",{}
fill_in_phone,1,"{""name"": ""finish"", ""parameters"": {}}",{}
